event name,date,event summary,Key topic 1,Key topic 2,Key topic 3,location
Tech Meetup 2025,2025-11-24,The definitive event for anyone looking to stay ahead in the rapidly evolving design landscape.,IoT,Healthtech,Computer Vision,"Toronto, Canada"
Blockchain Conference,2025-02-17,A collaborative platform for professionals to share insights on transforming innovation.,Metaverse,Edtech,UX Design,"Toronto, Canada"
Healthcare Meetup 2025,2025-03-23,A premier gathering focused on the latest advancements in blockchain technologies and innovations.,Quantum Computing,Virtual Reality,Computer Vision,"Winnipeg, Canada"
Finance Summit,2025-10-02,An exclusive event bringing together industry leaders to discuss the future of design.,Robotics,Computer Vision,Metaverse,"Ottawa, Canada"
Future of AI Forum,2025-02-10,Join experts and thought leaders to explore cutting-edge developments in healthcare.,Web3,UX Design,Robotics,"Saskatoon, Canada"
Sustainability Workshop 2025,2025-11-22,The definitive event for anyone looking to stay ahead in the rapidly evolving innovation landscape.,Metaverse,MLOps,Natural Language Processing,"Calgary, Canada"
Next-Gen Finance Meetup 2025,2025-01-17,A collaborative platform for professionals to share insights on transforming healthcare.,Green Tech,Remote Work,Data Analytics,"Ottawa, Canada"
Innovation Meetup,2025-03-13,An exclusive event bringing together industry leaders to discuss the future of marketing.,Product Management,Entrepreneurship,IoT,"Toronto, Canada"
Design 2025,2025-02-26,A collaborative platform for professionals to share insights on transforming finance.,Digital Marketing,Virtual Reality,Ethical AI,"Toronto, Canada"
Annual Design Meetup,2025-12-15,A premier gathering focused on the latest advancements in ai technologies and innovations.,Virtual Reality,Product Management,Cryptocurrency,"Halifax, Canada"
Cybersecurity Workshop 2025,2025-02-24,The definitive event for anyone looking to stay ahead in the rapidly evolving tech landscape.,MLOps,Entrepreneurship,Deep Learning,"Vancouver, Canada"
Blockchain Conference 2025,2025-07-05,A premier gathering focused on the latest advancements in marketing technologies and innovations.,5G Technology,Big Data,Future of Work,"Halifax, Canada"
Sustainability Forum 2025,2025-03-26,Join experts and thought leaders to explore cutting-edge developments in innovation.,Green Tech,Digital Transformation,Edtech,"Halifax, Canada"
Annual Blockchain Workshop 2025,2025-08-20,The definitive event for anyone looking to stay ahead in the rapidly evolving blockchain landscape.,Metaverse,Machine Learning,Robotics,"Toronto, Canada"
