Gender,Education,Specialization,interests,skills ,Yearly salary in pounds,Certifications,Job_status,Job_title,Highest Qualification
Female,B.E,Mechanical,Technology,"Critical Thinking, Analytic Thinking, SQL, Programming, Work under Pressure, Logical Skills, Problem Solving skills",44,Microsoft certification ,Yes,Computer Software Engineer,
Male,BA,English,Understand human behaviour,People management;Communication skills,46,Resilience psychology,No,,
Female,MBA,Marketing,Sales/Marketing;Trading;Understand human behaviour;Home interior design,Accounting Skills;Critical Thinking,75,No,Yes,Relationships manager,
Female,B.Tech,Computer,Technology,"C,C++,Java",62,W3schools,Yes,Plant Instrumentation Engineer,
Female,B.Tech,Mechanical,Technology,"C,C++,HTML,Java",56,"C,C++,HTML,Java",Yes,Network analyst,
Female,BMS,Physics,"Research, Sales/Marketing","Critical Thinking, Analytic Thinking, Communication Skills, Creativity Skills, Excel, Logical Skills, Interpersonal Skills, Presentation Skills, Problem Solving skills, Observation Skills, Reading",73,No,No,Student (Unemployed),PGDM (Marketing)
Male,B.E,Electric and telecommunication engineering,,,60,,,,
Male,B.Tech,Biotechnology,"Research,Understand human body,BioTechnology",Polymerase Chain Reaction (PCR);Molecular Biology;Life Sciences;Molecular Biology protein purification;protein chemistry;Protein Assays;Protein Electrophoresis;Protein Chromatography;Western Blotting;Protein Structure Prediction;Protein Kinases; Protein structure ;protein characterization ;protein engineering,44,Industrial biotechnology,Yes,"
Research Associate",
Female,BE,Artificial intelligence ,Data analytics,Programming Language skills;Machine Learning skills;Python,65,Data Science ,No,NA,
Female,B.Sc,Information Technology,Technology,Active Listening;Critical Thinking,48,No,Yes,Se,Ma
Female,B.Sc,Mathematics,News Coverage,"Communication Skills, Leadership, Problem Solving skills, Subject Knowledge",53,No,No,Student (Unemployed),Masters in Business Administration
Female,B.Sc,Computer Applications,Cloud computing,Python;SQL;Java,59,"Linux,Git",Yes,Software,MCA
Male,B.E,Computer Science Engineering,Technology,"Critical Thinking, Analytic Thinking, SQL, Programming, Work under Pressure, Logical Skills, Problem Solving skills",55,Microsoft certification ,Yes,Computer Software Engineer,
Female,BA,Psychology,Understand human behaviour,People management;Communication skills,52,Resilience psychology,No,NA,
Female,MBA,Commerce,Sales/Marketing;Trading;Understand human behaviour;Home interior design,Accounting Skills;Critical Thinking,75,No,Yes,Relationships manager,
Female,B.Tech,Instrumentation Engineering,Technology,Crossfunctional Team Leadership;Requirements Gathering;Lean Six Sigma;Lean six sigma blackbelt;Productivity Improvement,65,Extreme Productivity (Blinkist Summary),Yes,Plant Instrumentation Engineer,
Female,B.Tech,Computer Science Engineering,Technology,"C,C++,HTML,Java",49,"C,C++,HTML,Java",Yes,Network analyst,
Male,BMS,Commerce,"Research, Sales/Marketing","Critical Thinking, Analytic Thinking, Communication Skills, Creativity Skills, Excel, Logical Skills, Interpersonal Skills, Presentation Skills, Problem Solving skills, Observation Skills, Reading",76,No,No,Student (Unemployed),PGDM (Marketing)
Male,B.Tech,Computer Science Engineering,Technology,NO,65,No,Yes,Software Engineer Trainee,
Male,B.Tech,Computer Science Engineering,Technology,Programming Language skills;Critical Thinking;Linux;Python;SQL;Java,41,Redhat certification,Yes,senior software engineer,
Female,B.Sc,Physics ,Research;Teaching;Technology;Understand human behaviour;Understand human body;Content Writing;Govt. Job;Service;Infrastructure,Active Listening;Critical Thinking;Gathering Information;Artistic/Creative Skills;Communication skills;Leadership;Editing;Problem Solving skills;Writing skills;Medical knowledge;HR;Good communication skills;Teaching,65,No,No,NA,Studying in pg
Male,B.Com,Accountancy,Financial Analysis,"Accounting Skills, Analytic Thinking, Cost Accounting, Team work, Excel, Problem Solving skills, Writing, Tableau",57,Alteryx and Tableau,No,Tele-caller,Pursuing Certified Management Accountant of United States
Male,BE,Automobile Engineering,"Take risk for Profits, Technology, Entrepreneurship","Analytic Thinking, Gathering Informing, Communication Skills, Team work, Presentation Skills, Problem Solving skills",73,No,Yes,Data Engineer,
Male,MBA,Marketing ,"Sales/Marketing;Trading;Understand human behaviour;Digital marketing;Market reserach;Agriculture, services;Construction Manegement",Accounting Skills;Business Knowledge;Leadership;Problem Solving skills;Wealth Management,69,No,Yes,NA,Marketing 
Male,BE,Automation,Data analytics,Critical Thinking;Gathering Information;Presentation Skills;Python;SQL;Good communication skills,65,Machine learning with python ,No,NA,
Male,BCA,Computer Applications,Technology,Communication skills;Writing skills;C++;Python;SQL;Java;Cloud Computing,59,No,No,NA,Master of Computer Applications
Male,BE,"Science,Maths, Engineering subject",Research;Technology;Data analytics;Govt. Job,Analytical Skills;Data Visualization skills( Power Bi/ Tableau );Machine Learning skills;Python;SQL,46,"ML,Tane the Python,Recommendation project based on Market Analysis ,second prize in Nation Level project competition ",Yes,Worked in Research Institute ,
Male,B.Tech,Computer Science Engineering,Financial Analysis;Research;Data analytics;Data scientist,Programming Language skills;Critical Thinking;Gathering Information;Leadership;Machine Learning skills;Python;Artificial Intelligence;SQL;Java;MATLAB;Good communication skills,61,No,No,NA,Data science and computational intelligence
Male,BE,Mechanical Engineering,Entrepreneurship,"Python, Critical Thinking, Analytic Thinking, Gathering Informing, SQL, Programming, Leadership, Product Knowledge, Cost Accounting, Market Study, Team work, Excel, Logical Skills, R, Problem Solving skills, Writing, Tableau",44,Google Data Analytics Course,Yes,Teacher,M.Tech in Metallury and Material Science
Male,B.Tech,Electrical and Electronics Engineering,Technology,Matlab ;Embedded C; Arduino; C ++;c ;AVR;Eagle PCB;ARM Cortex-M;KiCAD;Software Project Management,55,"Control Systems;
Control of mobile robots;
Digital Signal Processing;
Electric Power Systems;
Electric machines;
Power Electronics",Yes,Embedded System Engineer,
Male,BE,Structural Engineeeing ,Research;Teaching;Technology;Data analytics,"Active Listening;Critical Thinking;Analytical Skills;People management;Communication skills;Leadership;Problem Solving skills;Designing skills;Proeficiency in Software like STAAD PRO, ETABS ",67,No,Yes,Assistant Professor,Master in Structural Engineering
Male,M.Tech,Mining,Teaching;Technology;Industires,Hardware skills,65,No,Yes,Mine Engineer,Mine Engineer
Male,B.Tech,Computer Science Engineering,Financial Analysis;Research;Sales/Marketing;Technology;Data analytics,Business Knowledge;Analytical Skills;Product knowledge;Problem Solving skills;Risk management skills;Designing skills;Machine Learning skills;Python;SQL;Cloud Computing;HR,75,No,No,NA,
Male,B.Tech,Mechanical Engineering,Technology;All fields related to Data science.;Industires;Information Technology,"Proeficiency in Software like STAAD PRO, ETABS;CAD/CAE(autocad/catia/ansys/proE/SeimensNX)",64,ANSYS,Yes,Mechanical Design Engineer,
Male,B.Com,Accountancy ,Financial Analysis;News Coverage;Research;Sales/Marketing;Social Justice;Teaching;Technology;Trading;Understand human behaviour;Understand human body;Supply Chain Analysis;Data analytics;Govt. Job;Game industry;Digital marketing,Accounting Skills;Active Listening;Critical Thinking;Gathering Information;Business Knowledge;Analytical Skills;Finance related skills;People management;Communication skills;Negotiation skills;Mass Communication;Leadership;Product knowledge;Problem Solving skills;Risk management skills;Data Visualization skills( Power Bi/ Tableau );Sales;Interpersonal skills;Wealth Management,40,No,Yes,Finance Manager,M. Com
Male,BCA,C language,Technology;Service,Programming Language skills;Communication skills;Writing skills;Machine Learning skills;Sales;C++;R,71,No,No,NA,
Male,BCA,"C,c++, java",Teaching,Active Listening;Teaching,63,No,Yes,Teaching,MCA
Male,B.Tech,Civil Engineering,Market reserach,Business Knowledge;Civil & Criminal Law;Product knowledge,45,No,Yes,National Head ,
Male,B.Tech,Mechanical Engineering,Design,Critical Thinking;Problem Solving skills;Designing skills;Interpersonal skills;Python,58,"CATIA,AUTOCAD,PRO E",Yes,Field Engineer,
Male,BBA,Management,Financial Analysis,Strategic Planning;Financial Analysis;Financial Modeling;Marketing Strategy;Financial Services,75,"Equity Derivatives;Advanced Financial Statements Analysis;
Financial Modelling;
Integrated Mangement and Safety;
Pricing and Valuation of Fixed Income Instruments",Yes,Investment Banking Associate,
Male,BE,Automobile Engineering,"Financial Analysis, Sales/Marketing, Technology, Entrepreneurship","Business Knowledge, People Management, Communication Skills, Work under Pressure, Leadership, Market Study, Team work, Interpersonal Skills, Presentation Skills, Designing Skills, Sales, Design and analysis of automobile components, vehicle maintenance and reconditioning, design for manufacturer and assemble",47,"Six Sigma, digital marketing.",Yes,Sales Executive,Masters in Business Administration
Female,BE,Electronics and Communication Engineering,Embedded design,"Creativity Skills, Excel, Logical Skills, Observation Skills, Risk Managing, Designing Skills, Vlsi design,simulation,embedded,IOT",77,"JAVA,Embedded and IOT",Yes,VLSI Digital Design,ME in VLSI design
Male,B.Tech,Computer Science Engineering,Research,"Python, Critical Thinking, Analytic Thinking, Java, SQL, Programming, Communication Skills, Negotiation Skills, Creativity Skills, Excel, Logical Skills, Interpersonal Skills, Presentation Skills, C++",59,No,Yes,Production manager,MRes in Printed Electronics
Male,BE,Electronics and Communication Engineering,Technology,NO,59,No,Yes,Software Developer,
Male,B.Com,Sales and marketing,Sales/Marketing,Active Listening;Business Knowledge;Communication skills;Negotiation skills;Leadership;Product knowledge;Problem Solving skills;Sales;Interpersonal skills,70,No,Yes,Life insurance,Masters in marketing and HR
Female,B.Com,Economics,Sales/Marketing,Business Knowledge,74,No,No,NA,M.Com
Male,B.Tech,Computer Science Engineering,Software Job,NO,67,No,Yes,Developer,
Male,B.Tech,Computer Science Engineering,Financial Analysis;Technology;Trading;Data analytics,Business Knowledge;Analytical Skills;Negotiation skills;Problem Solving skills;Data Visualization skills( Power Bi/ Tableau );Machine Learning skills;SQL,61,No,Yes,Full stack developer ,
Male,BE,Mechanical Engineering,Trading,Active Listening;Business Knowledge;Risk management skills;Sales;Good communication skills,43,No,Yes,NA,
Male,B.Tech,Computer science and business system,Financial Analysis;Technology;Web Designing;Web development;Social causes,Accounting Skills;Programming Language skills;Critical Thinking;Business Knowledge;Analytical Skills;Finance related skills;Communication skills;Problem Solving skills;C++;Python;SQL,50,Cpp with ds,No,NA,
Female,B.Pharmacy,Pharmacy,Research,"Active Listening, Creativity Skills, Team work, Logical Skills",69,No,Yes,Process analyst,Masters in Pharmacy
Female,B.Com,Commerce,Financial Analysis,"Accounting Skills, Cost Accounting",65,Tax and law,No,Housewife,
Female,B.Sc,Interior design,Home interior design,Programming Language skills;People management;Mass Communication;Leadership;Designing skills;Writing skills;Architecture,78,No,Yes,Junior interior designer ,
Male,B.Com,Commerce,Take risk for Profits,"Business Knowledge, Product Knowledge, Team work, Sales",80,No,Yes,Tele-caller,Masters in Computer Applications
Female,B.Tech,Information Technology,Entrepreneurship,"Gathering Informing, People Management, Communication Skills, Work under Pressure, Leadership, Team work, Interpersonal Skills, Mass Communication, Observation Skills, Risk Managing",52,Digital marketing ,Yes,HR,Masters in Business Administration
Male,B.Sc,Chemistry,Government jobs,Sports,55,No,No,Pc,Msc
Male,Bca,Computer Applications,Technology,"AI, ML, Python, Java, SQL, Tableau",49,Udemy,No,Student (Unemployed),Masters in Computer Applications
Male,BE,Automobile Engineering,"Research, Take risk for Profits, Understand Human Behaviour","Critical Thinking, Analytic Thinking, Product Knowledge, Team work, Excel, Observation Skills, Risk Managing, Reporting, Reading, Designing Skills",74,No,Yes,Design engineer,
