event_id,event name,date,event summary,Key topic 1,Key topic 2,Key topic 3,location,event_text
e1,Tech Meetup 2024,2024-11-23,The definitive event for anyone looking to stay ahead in the rapidly evolving design landscape.,IoT,Healthtech,Computer Vision,"Toronto, Canada","Tech Meetup 2024. The definitive event for anyone looking to stay ahead in the rapidly evolving design landscape. Topics: IoT Healthtech Computer Vision. Location: Toronto, Canada. Date: 2024-11-23"
e2,Blockchain Conference,2024-02-17,A collaborative platform for professionals to share insights on transforming innovation.,Metaverse,Edtech,UX Design,"Toronto, Canada","Blockchain Conference. A collaborative platform for professionals to share insights on transforming innovation. Topics: Metaverse Edtech UX Design. Location: Toronto, Canada. Date: 2024-02-17"
e3,Healthcare Meetup 2024,2024-03-22,A premier gathering focused on the latest advancements in blockchain technologies and innovations.,Quantum Computing,Virtual Reality,Computer Vision,"Winnipeg, Canada","Healthcare Meetup 2024. A premier gathering focused on the latest advancements in blockchain technologies and innovations. Topics: Quantum Computing Virtual Reality Computer Vision. Location: Winnipeg, Canada. Date: 2024-03-22"
e4,Finance Summit,2024-10-01,An exclusive event bringing together industry leaders to discuss the future of design.,Robotics,Computer Vision,Metaverse,"Ottawa, Canada","Finance Summit. An exclusive event bringing together industry leaders to discuss the future of design. Topics: Robotics Computer Vision Metaverse. Location: Ottawa, Canada. Date: 2024-10-01"
e5,Future of AI Forum,2024-02-10,Join experts and thought leaders to explore cutting-edge developments in healthcare.,Web3,UX Design,Robotics,"Saskatoon, Canada","Future of AI Forum. Join experts and thought leaders to explore cutting-edge developments in healthcare. Topics: Web3 UX Design Robotics. Location: Saskatoon, Canada. Date: 2024-02-10"
e6,Sustainability Workshop 2024,2024-11-21,The definitive event for anyone looking to stay ahead in the rapidly evolving innovation landscape.,Metaverse,MLOps,Natural Language Processing,"Calgary, Canada","Sustainability Workshop 2024. The definitive event for anyone looking to stay ahead in the rapidly evolving innovation landscape. Topics: Metaverse MLOps Natural Language Processing. Location: Calgary, Canada. Date: 2024-11-21"
e7,Next-Gen Finance Meetup 2024,2024-01-17,A collaborative platform for professionals to share insights on transforming healthcare.,Green Tech,Remote Work,Data Analytics,"Ottawa, Canada","Next-Gen Finance Meetup 2024. A collaborative platform for professionals to share insights on transforming healthcare. Topics: Green Tech Remote Work Data Analytics. Location: Ottawa, Canada. Date: 2024-01-17"
e8,Innovation Meetup,2024-03-12,An exclusive event bringing together industry leaders to discuss the future of marketing.,Product Management,Entrepreneurship,IoT,"Toronto, Canada","Innovation Meetup. An exclusive event bringing together industry leaders to discuss the future of marketing. Topics: Product Management Entrepreneurship IoT. Location: Toronto, Canada. Date: 2024-03-12"
e9,Design 2024,2024-02-26,A collaborative platform for professionals to share insights on transforming finance.,Digital Marketing,Virtual Reality,Ethical AI,"Toronto, Canada","Design 2024. A collaborative platform for professionals to share insights on transforming finance. Topics: Digital Marketing Virtual Reality Ethical AI. Location: Toronto, Canada. Date: 2024-02-26"
e10,Annual Design Meetup,2024-12-14,A premier gathering focused on the latest advancements in ai technologies and innovations.,Virtual Reality,Product Management,Cryptocurrency,"Halifax, Canada","Annual Design Meetup. A premier gathering focused on the latest advancements in ai technologies and innovations. Topics: Virtual Reality Product Management Cryptocurrency. Location: Halifax, Canada. Date: 2024-12-14"
e11,Cybersecurity Workshop 2024,2024-02-24,The definitive event for anyone looking to stay ahead in the rapidly evolving tech landscape.,MLOps,Entrepreneurship,Deep Learning,"Vancouver, Canada","Cybersecurity Workshop 2024. The definitive event for anyone looking to stay ahead in the rapidly evolving tech landscape. Topics: MLOps Entrepreneurship Deep Learning. Location: Vancouver, Canada. Date: 2024-02-24"
e12,Blockchain Conference 2024,2024-07-04,A premier gathering focused on the latest advancements in marketing technologies and innovations.,5G Technology,Big Data,Future of Work,"Halifax, Canada","Blockchain Conference 2024. A premier gathering focused on the latest advancements in marketing technologies and innovations. Topics: 5G Technology Big Data Future of Work. Location: Halifax, Canada. Date: 2024-07-04"
e13,Sustainability Forum 2024,2024-03-25,Join experts and thought leaders to explore cutting-edge developments in innovation.,Green Tech,Digital Transformation,Edtech,"Halifax, Canada","Sustainability Forum 2024. Join experts and thought leaders to explore cutting-edge developments in innovation. Topics: Green Tech Digital Transformation Edtech. Location: Halifax, Canada. Date: 2024-03-25"
e14,Annual Blockchain Workshop 2024,2024-08-19,The definitive event for anyone looking to stay ahead in the rapidly evolving blockchain landscape.,Metaverse,Machine Learning,Robotics,"Toronto, Canada","Annual Blockchain Workshop 2024. The definitive event for anyone looking to stay ahead in the rapidly evolving blockchain landscape. Topics: Metaverse Machine Learning Robotics. Location: Toronto, Canada. Date: 2024-08-19"
e15,Annual Tech Hackathon 2024,2024-04-27,An exclusive event bringing together industry leaders to discuss the future of blockchain.,5G Technology,Big Data,Future of Work,"Calgary, Canada","Annual Tech Hackathon 2024. An exclusive event bringing together industry leaders to discuss the future of blockchain. Topics: 5G Technology Big Data Future of Work. Location: Calgary, Canada. Date: 2024-04-27"
e16,Modern Blockchain Summit 2024,2024-08-30,A collaborative platform for professionals to share insights on transforming finance.,Natural Language Processing,Cloud Computing,Green Tech,"Edmonton, Canada","Modern Blockchain Summit 2024. A collaborative platform for professionals to share insights on transforming finance. Topics: Natural Language Processing Cloud Computing Green Tech. Location: Edmonton, Canada. Date: 2024-08-30"
e17,Blockchain Workshop,2024-02-25,A collaborative platform for professionals to share insights on transforming data science.,Augmented Reality,Robotics,Edtech,"Halifax, Canada","Blockchain Workshop. A collaborative platform for professionals to share insights on transforming data science. Topics: Augmented Reality Robotics Edtech. Location: Halifax, Canada. Date: 2024-02-25"
e18,Global Design Conference 2024,2024-02-20,An exclusive event bringing together industry leaders to discuss the future of data science.,Green Tech,Natural Language Processing,Blockchain,"Quebec City, Canada","Global Design Conference 2024. An exclusive event bringing together industry leaders to discuss the future of data science. Topics: Green Tech Natural Language Processing Blockchain. Location: Quebec City, Canada. Date: 2024-02-20"
e19,Modern Cybersecurity Expo,2024-01-02,A collaborative platform for professionals to share insights on transforming sustainability.,Data Analytics,NFTs,UI Design,"Calgary, Canada","Modern Cybersecurity Expo. A collaborative platform for professionals to share insights on transforming sustainability. Topics: Data Analytics NFTs UI Design. Location: Calgary, Canada. Date: 2024-01-02"
e20,Innovation Conference,2024-01-30,The definitive event for anyone looking to stay ahead in the rapidly evolving sustainability landscape.,Blockchain,Natural Language Processing,Product Management,"Vancouver, Canada","Innovation Conference. The definitive event for anyone looking to stay ahead in the rapidly evolving sustainability landscape. Topics: Blockchain Natural Language Processing Product Management. Location: Vancouver, Canada. Date: 2024-01-30"
e21,Marketing Summit 2024,2024-04-05,The definitive event for anyone looking to stay ahead in the rapidly evolving marketing landscape.,Computer Vision,IoT,Fintech,"Saskatoon, Canada","Marketing Summit 2024. The definitive event for anyone looking to stay ahead in the rapidly evolving marketing landscape. Topics: Computer Vision IoT Fintech. Location: Saskatoon, Canada. Date: 2024-04-05"
e22,Healthcare Meetup 2024,2024-10-16,A collaborative platform for professionals to share insights on transforming blockchain.,Big Data,DevOps,Remote Work,"Edmonton, Canada","Healthcare Meetup 2024. A collaborative platform for professionals to share insights on transforming blockchain. Topics: Big Data DevOps Remote Work. Location: Edmonton, Canada. Date: 2024-10-16"
e23,Global Education Summit 2024,2024-02-07,Join experts and thought leaders to explore cutting-edge developments in sustainability.,Robotics,Augmented Reality,Digital Transformation,"Ottawa, Canada","Global Education Summit 2024. Join experts and thought leaders to explore cutting-edge developments in sustainability. Topics: Robotics Augmented Reality Digital Transformation. Location: Ottawa, Canada. Date: 2024-02-07"
e24,Sustainability Meetup,2024-03-21,Join experts and thought leaders to explore cutting-edge developments in tech.,Cloud Computing,Big Data,Virtual Reality,"Vancouver, Canada","Sustainability Meetup. Join experts and thought leaders to explore cutting-edge developments in tech. Topics: Cloud Computing Big Data Virtual Reality. Location: Vancouver, Canada. Date: 2024-03-21"
e25,Emerging Data Science Meetup,2024-02-24,Join experts and thought leaders to explore cutting-edge developments in innovation.,Product Management,Entrepreneurship,Virtual Reality,"Toronto, Canada","Emerging Data Science Meetup. Join experts and thought leaders to explore cutting-edge developments in innovation. Topics: Product Management Entrepreneurship Virtual Reality. Location: Toronto, Canada. Date: 2024-02-24"
e26,Finance Meetup 2024,2024-02-17,An exclusive event bringing together industry leaders to discuss the future of healthcare.,Edtech,Ethical AI,Healthtech,"Halifax, Canada","Finance Meetup 2024. An exclusive event bringing together industry leaders to discuss the future of healthcare. Topics: Edtech Ethical AI Healthtech. Location: Halifax, Canada. Date: 2024-02-17"
e27,AI Symposium,2024-01-05,A collaborative platform for professionals to share insights on transforming sustainability.,Big Data,Computer Vision,DevOps,"Edmonton, Canada","AI Symposium. A collaborative platform for professionals to share insights on transforming sustainability. Topics: Big Data Computer Vision DevOps. Location: Edmonton, Canada. Date: 2024-01-05"
e28,Next-Gen Blockchain Workshop 2024,2024-01-21,An exclusive event bringing together industry leaders to discuss the future of sustainability.,Augmented Reality,Blockchain,Cryptocurrency,"Quebec City, Canada","Next-Gen Blockchain Workshop 2024. An exclusive event bringing together industry leaders to discuss the future of sustainability. Topics: Augmented Reality Blockchain Cryptocurrency. Location: Quebec City, Canada. Date: 2024-01-21"
e29,Innovation 2024,2024-01-13,A premier gathering focused on the latest advancements in design technologies and innovations.,Sustainability,Computer Vision,Future of Work,"Calgary, Canada","Innovation 2024. A premier gathering focused on the latest advancements in design technologies and innovations. Topics: Sustainability Computer Vision Future of Work. Location: Calgary, Canada. Date: 2024-01-13"
e30,Healthcare Meetup 2024,2024-04-12,Join experts and thought leaders to explore cutting-edge developments in design.,UX Design,Robotics,Quantum Computing,"Halifax, Canada","Healthcare Meetup 2024. Join experts and thought leaders to explore cutting-edge developments in design. Topics: UX Design Robotics Quantum Computing. Location: Halifax, Canada. Date: 2024-04-12"
e31,Sustainability Hackathon 2024,2024-07-23,A premier gathering focused on the latest advancements in ai technologies and innovations.,Cloud Computing,Healthtech,Quantum Computing,"Edmonton, Canada","Sustainability Hackathon 2024. A premier gathering focused on the latest advancements in ai technologies and innovations. Topics: Cloud Computing Healthtech Quantum Computing. Location: Edmonton, Canada. Date: 2024-07-23"
e32,Sustainability 2024,2024-08-11,A collaborative platform for professionals to share insights on transforming tech.,Machine Learning,Digital Marketing,5G Technology,"Calgary, Canada","Sustainability 2024. A collaborative platform for professionals to share insights on transforming tech. Topics: Machine Learning Digital Marketing 5G Technology. Location: Calgary, Canada. Date: 2024-08-11"
e33,AI Hackathon,2024-07-05,The definitive event for anyone looking to stay ahead in the rapidly evolving cybersecurity landscape.,DevOps,Fintech,MLOps,"Quebec City, Canada","AI Hackathon. The definitive event for anyone looking to stay ahead in the rapidly evolving cybersecurity landscape. Topics: DevOps Fintech MLOps. Location: Quebec City, Canada. Date: 2024-07-05"
e34,Sustainability Symposium 2024,2024-12-22,An exclusive event bringing together industry leaders to discuss the future of design.,DevOps,Green Tech,Ethical AI,"Toronto, Canada","Sustainability Symposium 2024. An exclusive event bringing together industry leaders to discuss the future of design. Topics: DevOps Green Tech Ethical AI. Location: Toronto, Canada. Date: 2024-12-22"
e35,Blockchain Forum,2024-06-04,A collaborative platform for professionals to share insights on transforming education.,Web3,Product Management,Future of Work,"Montreal, Canada","Blockchain Forum. A collaborative platform for professionals to share insights on transforming education. Topics: Web3 Product Management Future of Work. Location: Montreal, Canada. Date: 2024-06-04"
